name,domain,input_type,output_type,difficulty,tags,can_invert
lattice_paths_inverse_m,combinatorics,count,integer,3,combinatorics|paths|inverse,False
lattice_point_counting,geometry,integer,integer,4,geometry|lattice|picks_theorem|counting,False
lattice_points_in_region,geometry,rectangle,integer,1,geometry|lattice|counting,False
lattice_points_on_segment,geometry,point_pair,integer,2,geometry|lattice|segment,False
laurent_polynomial,algebra,polynomial,integer,3,algebra|polynomials|laurent,False
law_of_cosines,geometry,triangle,geometric_value,2,geometry|triangle|law_of_cosines,False
law_of_cosines_inverse_angle,geometry,triangle,geometric_value,3,geometry|triangle|law_of_cosines|inverse,False
law_of_sines_ratio,geometry,triangle,geometric_value,2,geometry|triangle|law_of_sines|circumradius,False
lcm_compute,number_theory,integer,integer,1,number_theory|lcm,True
lcm_inverse_a,number_theory,integer,integer,2,number_theory|lcm|inverse,False
lcm_multiplicative_order_backward,number_theory,integer,params,6,number_theory|order|backward|lcm,False
legendre_inverse,number_theory,integer,integer,3,number_theory|valuation|inverse,False
legendre_symbol,number_theory,integer,integer,2,number_theory|quadratic_residues,True
legendre_valuation,number_theory,integer,integer,2,number_theory|valuation|factorial,True
legendre_valuation_factorial,number_theory,integer,integer,4,combinatorics|number_theory|valuation|legendre,False
less_than,other,none,bool,1,comparison|primitive,False
lifting_exponent,number_theory,none,integer,5,number_theory|lifting_exponent|valuation|deep_insight,False
lifting_exponent_inverse_n,number_theory,integer,integer,4,number_theory|valuation|lte|inverse,False
lifting_exponent_valuation,number_theory,integer,integer,4,number_theory|valuation|lte,True
liminf_conclusion,analysis,list,number,2,analysis|sequences|liminf,False
limit_as_n_goes_to_infinity,analysis,list,number,2,analysis|sequences|limits,False
limit_at_infinity,analysis,none,number,3,analysis|limits|infinity,False
limit_combination_from_liminf_limsup,analysis,none,number,3,analysis|limits|liminf|limsup,False
limit_existence_conclusion,analysis,none,number,2,analysis|limits|existence,False
limit_implies_constant,analysis,number,number,2,analysis|limits|constant,False
limit_integral_expression,analysis,none,number,3,analysis|limits|integrals,False
limit_of_product,analysis,none,number,2,analysis|limits|product,False
limit_of_reciprocal,analysis,number,number,2,analysis|limits|reciprocal,False
limit_power_series,analysis,none,number,3,analysis|limits|power_series,False
line_covering_threshold,geometry,integer,integer,6,combinatorics|extremal|geometry|sylvester_gallai|incidence,True
line_equation_from_slope_point,geometry,geometric,numeric,2,geometry|line|slope|point-slope,False
line_intersection,geometry,none,point,2,geometry|lines|intersection,False
line_through_two_points,geometry,geometric,integer,2,geometry|line|point,False
linear_recurrence,algebra,sequence,integer,3,algebra|recurrence|sequences,False
linear_recurrence_inverse_n,algebra,integer,integer,4,algebra|recurrence|sequences|inverse,False
linearity_of_expectation,combinatorics,integer,count,2,combinatorics|probability|expectation,False
log2,other,number,number,2,arithmetic|logarithms,True
log_symmetry_integral,analysis,integer,number,4,calculus|integration|logarithms|symmetry,False
logarithm_expansion,analysis,number,number,2,analysis|logarithms|taylor|series,False
logarithmic_limit_transform,analysis,number,number,3,analysis|limits|logarithms,False
lte_even_power,number_theory,integer,integer,4,number_theory|valuation|lte,False
lucas,number_theory,integer,integer,1,number_theory|sequences|lucas,True
lucas_inverse,number_theory,integer,integer,2,number_theory|sequences|lucas|inverse,False
match_asymptotic_coefficient,analysis,none,number,2,analysis|asymptotics|coefficients,False
matrix_det,algebra,matrix,integer,2,algebra|matrix|determinant,False
matrix_power,algebra,matrix,matrix,3,algebra|matrix|exponentiation,False
matrix_power_inverse_n,algebra,matrix,integer,5,algebra|matrix|inverse|discrete_log,False
matrix_trace,algebra,matrix,integer,1,algebra|matrix|trace,False
max_arc_size_affine,geometry,none,integer,4,finite_geometry|projective_geometry|arc,False
max_arc_size_affine_with_translation,geometry,none,integer,5,finite_geometry|projective_geometry|hyperoval|arc,False
max_distinct_perimeter_rectangles,geometry,integer,integer,5,combinatorics|geometry|optimization|binary_search,False
max_m_satisfying_flow_bound,other,integer,integer,5,graph_theory|flow|chromatic|ramsey|seymour,True
max_points_not_forcing_line_cover,geometry,integer,integer,5,combinatorics|extremal|geometry|incidence,True
max_power_of_two_below_bound,number_theory,integer,integer,2,number_theory|powers|logarithm,True
max_ratio_over_configurations,analysis,none,number,2,analysis|optimization|ratios,False
max_rectangle_area,geometry,integer,integer,2,optimization|geometry|rectangle,False
max_triangle_area,geometry,integer,integer,3,optimization|geometry|triangle,False
max_valuation_under_constraint,number_theory,integer,integer,3,number_theory|valuation|optimization,False
max_value,other,none,integer,1,arithmetic|comparison|basic,False
max_value_from_cases,analysis,list,number,1,analysis|optimization,False
measure_cover_epsilon,analysis,none,number,2,measure_theory|analysis|series,False
measure_zero_conclusion,analysis,boolean,integer,2,measure_theory|analysis|sets,False
medial_triangle_properties,geometry,triangle,geometric_value,3,geometry|triangle|medial|properties,False
median_length,geometry,triangle,geometric_value,2,geometry|triangle|median,False
menelaus_theorem,geometry,triangle,geometric_value,4,geometry|triangle|menelaus|collinear,False
midpoint,geometry,none,point,1,geometry|coordinates,False
min_area_function,combinatorics,integer,integer,3,combinatorics|rectangle|optimization,False
min_prime_satisfying_constraint,number_theory,integer,integer,2,number_theory|primes|search,True
min_value,other,none,integer,1,arithmetic|comparison|basic,False
minimize_distance_plane,geometry,integer,integer,3,geometry|3d|optimization,False
mod,number_theory,none,integer,1,arithmetic|basic|modular,False
mod_100000,number_theory,int,int,1,modular|answer_format|aimo3,False
mod_99991,number_theory,int,int,1,modular|answer_format|prime,False
mod_inverse,number_theory,integer,integer,2,number_theory|modular,True
mod_reduce,other,any,integer,1,operational|arithmetic|computation,False
modular_arithmetic_analysis,number_theory,integer,integer,2,number_theory|modular|cycles,False
modular_exponentiation,number_theory,integer,integer,2,number_theory|modular,True
modular_order,number_theory,none,integer,5,number_theory|modular|primitive_root|deep_insight,False
modular_power_result,number_theory,integer,integer,2,number_theory|modular,False
modulo,number_theory,integer,integer,1,arithmetic|modular,False
multiplicative_order,number_theory,integer,integer,3,number_theory|order,True
multiplicative_order_inverse_a,number_theory,integer,integer,4,number_theory|order|inverse,False
multiplicative_order_mod_prime,number_theory,integer,integer,3,number_theory|modular_arithmetic|order,False
multiplicative_permutation,number_theory,none,integer,5,number_theory|multiplicative_functions|deep_insight|counting,False
multiplicative_to_additive,other,none,integer,4,functional_equation|deep_insight|logarithm,False
multiply,other,none,number,1,arithmetic|basic,False
multiset_permutation_avoiding_pattern,combinatorics,integer,count,5,combinatorics|inclusion_exclusion|forbidden_pattern|multiset,False
multiset_permutation_total,combinatorics,integer,count,3,combinatorics|multinomial|permutation|multiset,False
mutual_singularity_limit,analysis,none,number,3,analysis|limits|singularities,False
named_cubics_properties,algebra,integer,integer,3,algebra|cubics,False
nearest_multiple,other,integer,integer,1,arithmetic|rounding,False
negate,other,number,number,1,arithmetic|basic,True
nested_sqrt_limit_sequence,analysis,none,number,3,analysis|limits|nested_radicals,False
newton_inverse_elemsym,algebra,sequence,sequence,5,algebra|newton|symmetric|polynomials,False
newton_power_sum,algebra,polynomial,integer,4,algebra|newton|symmetric|polynomials,False
nine_point_circle,geometry,triangle,circle,4,geometry|triangle|nine_point|circle,False
nine_point_properties,geometry,integer,integer,5,geometry|triangle|nine_point|circle,False
normalize_expression,other,any,dict,3,operational|mapping|transformation,False
nth_root_limit_bounds,analysis,list,number,3,analysis|limits|root_test,False
number_from_prime_powers,number_theory,dict,integer,2,number_theory|primes|construction,True
optimal_box_volume,geometry,integer,integer,4,optimization|geometry|3d,False
optional_stopping_theorem,other,none,number,4,probability|stochastic|martingale|stopping_time,False
ordinary_generating_function,algebra,sequence,polynomial,4,algebra|generating_functions|ogf,False
orthocenter_altitude_properties,geometry,integer,integer,4,geometry|triangle|orthocenter,False
padic_inverse,number_theory,integer,integer,1,number_theory|valuation|inverse,False
padic_valuation,number_theory,integer,integer,1,number_theory|valuation,True
parallelogram_properties,geometry,geometric_value,geometric_value,3,geometry|parallelogram|quadrilateral|properties,False
parity_check,number_theory,integer,integer,1,number_theory|parity,False
partial_fractions,algebra,polynomial,sequence,4,algebra|partial_fractions|rational,False
particular_solution_undetermined_coeffs,analysis,none,number,3,analysis|ode|particular_solution,False
partition,combinatorics,integer,count,3,combinatorics|partition|counting,False
partition_inverse,combinatorics,count,integer,4,combinatorics|partition|inverse,False
partition_k_parts,combinatorics,integer,count,3,combinatorics|partition|counting,False
pascal_theorem,geometry,hexagon,point_triple,5,geometry|projective|pascal|conic,False
pell_equation,other,none,integer,5,pell|diophantine|deep_insight|sequences,False
perfect_square_check,number_theory,integer,boolean,1,number_theory|perfect_squares,False
perfect_squares_up_to,number_theory,integer,integer,1,number_theory|squares|counting,True
permutation_decomposition,combinatorics,integer,integer,3,combinatorics|cycle-decomposition|stirling-numbers,False
permutation_order,combinatorics,none,integer,3,combinatorics|permutations|group_theory,False
permutation_with_repetition,combinatorics,integer,integer,3,combinatorics,False
perpendicular_bisector,geometry,none,line,2,geometry|lines,False
perpendicular_line_equation,geometry,geometric,integer,3,geometry|line|perpendicular,False
perpendicular_to_line,geometry,geometric,integer,2,geometry|line|perpendicular,False
picks_inverse_interior,geometry,geometric_value,integer,3,geometry|lattice|picks|inverse,False
picks_theorem,geometry,lattice_polygon,geometric_value,3,geometry|lattice|area|picks,False
pigeonhole,combinatorics,integer,count,2,combinatorics|pigeonhole|counting,False
pigeonhole_apply,other,any,dict,3,operational|proof|logic,False
pigeonhole_generalized,combinatorics,integer,count,3,combinatorics|pigeonhole|counting,False
place_value_sum,combinatorics,list,integer,1,combinatorics|arithmetic|base_conversion,True
plane_geometry,geometry,integer,integer,3,geometry|plane,False
platonic_eulerian_circuits,combinatorics,none,integer,5,combinatorics|graph_theory|burnside|platonic_solid|eulerian,False
point_b,geometry,integer,geometric_value,1,geometry|point,False
point_c,geometry,integer,geometric_value,1,geometry|point,False
point_in_triangle,geometry,geometric,integer,3,geometry|triangle|containment,False
point_o,geometry,integer,geometric_value,1,geometry|point|origin,False
point_on_line,geometry,none,boolean,1,geometry|collinearity|points|line,False
point_translation,geometry,geometric,integer,1,geometry|transformation|translation,True
pointwise_limit_analysis,analysis,list,number,3,analysis|limits|pointwise,False
poles_and_polars,geometry,geometric,integer,4,geometry|projective|circle|polar|inversion,True
polygon_area,geometry,polygon,geometric_value,2,geometry|polygon|area|coordinate,False
polynomial_degree,algebra,none,integer,1,algebra|polynomials,False
polynomial_difference,algebra,polynomial,polynomial,2,algebra|polynomials|subtraction,False
polynomial_discriminant,algebra,none,number,2,algebra|polynomials,False
polynomial_division,algebra,polynomial,polynomial,3,algebra|polynomials|division,False
polynomial_eval_extended,algebra,integer,integer,3,algebra|polynomials,False
polynomial_evaluation,algebra,polynomial,integer,1,algebra|polynomials|evaluation,False
polynomial_evaluation_inverse_x,algebra,polynomial,integer,4,algebra|polynomials|root_finding|inverse,False
polynomial_factorization,algebra,polynomial,factored_form,3,algebra|polynomials|factorization,False
polynomial_roots,algebra,polynomial,integer,3,algebra|polynomials|roots,False
power,other,none,number,1,arithmetic|exponentiation,False
power_of_base,other,integer,integer,1,arithmetic|exponentiation,False
power_of_point,geometry,geometric,geometric_value,2,geometry|circle|power,True
power_of_point_inverse_radius,geometry,geometric_value,geometric_value,3,geometry|circle|power|inverse,False
power_of_two,other,integer,integer,1,arithmetic|exponentiation,True
power_point_coordinate,geometry,integer,integer,4,geometry|circle|power|coordinate,False
power_series_expansion_log,analysis,number,number,3,analysis|series|logarithms|taylor,False
power_tower,number_theory,none,integer,4,number_theory|exponentiation|tetration,False
powerset,combinatorics,integer,count,2,combinatorics|set_theory|powerset,False
prime_counting_function,number_theory,integer,integer,2,number_theory|primes|counting,False
prime_factorization,number_theory,integer,dict,2,number_theory|primes|factorization,False
primes_below,number_theory,integer,list,2,number_theory|primes|listing,False
primes_of_form_2k_plus_1,number_theory,integer,integer,2,number_theory|primes,False
primitive_root,number_theory,integer,integer,3,number_theory|primitive_root,True
probabilistic_method,combinatorics,integer,count,4,combinatorics|probability|existence,False
probability,combinatorics,integer,fraction,3,combinatorics|probability|counting,False
product,other,list,number,1,arithmetic|basic,False
product_mod,number_theory,any,integer,1,number_theory|modular,False
product_range,other,none,integer,1,arithmetic|basic|product,False
projective_geometry,geometry,integer,integer,5,geometry|projective|finite_geometry,False
projective_line_curve,geometry,integer,integer,3,algebraic_geometry|curves|genus,False
pythagorean_theorem,geometry,integer,integer,2,geometry|triangles|pythagorean,False
quadratic_axis_of_symmetry,algebra,quadratic,number,1,algebra|quadratic|symmetry|axis,False
quadratic_discriminant,algebra,quadratic,integer,1,algebra|quadratic|discriminant|roots,False
quadratic_form_solution_count,number_theory,integer,integer,3,number_theory|quadratic_forms|sums_of_squares,True
quadratic_formula,algebra,quadratic,tuple,2,algebra|quadratic|roots|formula,False
quadratic_reciprocity,number_theory,integer,integer,3,number_theory|quadratic_residues,False
quadratic_residue,number_theory,none,integer,5,number_theory|quadratic_residue|legendre|deep_insight,False
quadratic_residue_product_mod_p,number_theory,integer,integer,3,number_theory|quadratic_residues|modular_arithmetic,False
quadratic_root_count,algebra,quadratic,integer,2,algebra|quadratic|roots|discriminant,False
quadratic_vertex,algebra,quadratic,tuple,2,algebra|quadratic|vertex|optimization,False
quadrilateral_area,geometry,polygon,geometric_value,2,geometry|quadrilateral|area|coordinate,False
quotient_of_sums,algebra,sequences,rational,2,algebra|sequences|sums,False
radical_axis,geometry,circle_pair,line,3,geometry|circle|radical_axis|power,False
ramsey_bound,combinatorics,integer,integer,4,combinatorics|ramsey_theory|extremal,False
random_hexagon,geometry,none,hexagon,3,geometry|starter|projective|pascal,False
random_integer,number_theory,none,integer,1,number_theory|seed,False
random_point,geometry,none,point,1,geometry|starter,False
random_triangle,geometry,none,triangle,1,geometry|starter,False
range_integers,other,none,list,1,arithmetic|sequences|basic,False
ratio_analysis_limit,analysis,list,number,3,analysis|limits|ratio_test,False
rational_reduce,number_theory,none,tuple,2,number_theory|fractions|gcd,False
rationalize_denominator,algebra,expression,expression,2,algebra|radicals|rationalization|simplification,False
recognize_catalan_structure,other,any,dict,2,operational|pattern_recognition,False
recognize_diophantine_form,other,any,dict,2,operational|pattern_recognition,False
recognize_fibonacci_recurrence,other,any,dict,2,operational|pattern_recognition,False
recognize_structure,other,any,dict,2,operational|pattern_recognition,False
recognize_telescoping,other,any,dict,2,operational|pattern_recognition,False
rectangle_coordinates,geometry,geometric,geometric_value,1,geometry|rectangle|coordinates,False
recurrence,algebra,integer,integer,3,algebra|recurrence|sequences,False
reduce_fraction,number_theory,none,tuple,2,number_theory|fractions|gcd,False
reflection,geometry,point,point,2,geometry|transformation|reflection,False
reflection_geometry,geometry,geometric_value,geometric_value,3,geometry|reflection|transformation,False
reflection_principle,geometry,integer,integer,3,geometry|combinatorics,False
regular_polygon_properties,geometry,integer,integer,3,geometry|polygon,False
right_triangle_properties,geometry,integer,integer,3,geometry|triangle|right_triangle|pythagorean,False
roots_of_unity,algebra,integer,integer,3,algebra|roots_of_unity,False
round_to_nearest,other,number,number,1,arithmetic|basic|rounding,False
segment_parameterize,geometry,geometric,numeric,2,geometry|parametric|segment,False
separate_expression_parts,algebra,expression,expression_parts,2,algebra|parsing|expressions,False
sequence_extraction,analysis,list,list,2,analysis|sequences|subsequence,False
sequence_sum,algebra,sequence,integer,1,sequences|algebra,False
series_approximation,algebra,integer,integer,4,algebra|series|approximation|calculus,False
seymour_flow_bound,algebra,none,integer,4,graph_theory|flow|seymour|algebraic_graph_theory,False
shoelace_area,geometry,polygon,geometric_value,2,geometry|coordinate|area|polygon,False
shoelace_inverse_vertex,geometry,geometric_value,point,4,geometry|coordinate|area|inverse,False
side_times_sin,geometry,geometric,geometric_value,1,geometry|trigonometry|sine,False
sieve_count,number_theory,integer,count,3,combinatorics|sieve|number_theory,False
similar_triangles,geometry,integer,integer,3,geometry|similarity|proportion|triangle,False
simplify,algebra,any,any,2,operational|algebra|sympy,False
simplify_dot_product,algebra,vectors,integer,1,algebra|vectors|dot_product,False
simulate_jumps,other,none,integer,2,probability|stochastic|jump_process|simulation,False
sine,other,angle,trig_value,1,trigonometry|basic,False
sine_integral_asymptotic,analysis,number,number,3,analysis|special_functions|asymptotics,False
sine_supplementary_angle,geometry,geometric,geometric_value,1,geometry|trigonometry|sine|supplementary,False
slope_collinearity,geometry,integer,integer,3,geometry|coordinate|collinearity,False
slope_to_trig,geometry,numeric,integer,1,geometry|trigonometry|slope|angle,True
smallest_prime_divisor,number_theory,integer,integer,2,number_theory|primes|divisors,False
solve_equation,algebra,equation,solution_set,4,algebra|equations|solving|roots,False
solve_for,algebra,any,any,2,operational|algebra|sympy,False
solve_length_equals_side,geometry,symbolic_expression,constraint,3,geometry|algebra|constraint,False
solve_linear_congruence,number_theory,integer,integer,2,number_theory|modular|congruence,True
solve_quadratic_congruence,number_theory,integer,integer,3,number_theory|modular|quadratic_residue,False
spanning_trees,combinatorics,integer,count,4,combinatorics|graph|spanning_trees,False
sphere_intersection,geometry,sphere_pair,circle_3d,4,geometry|3d|sphere|intersection,False
spiral_similarity,geometry,point,point,3,geometry|transformation|spiral|similarity,False
spiral_similarity_inverse,geometry,point_pair,point,4,geometry|transformation|spiral|inverse,False
sqrt_computation,other,number,number,1,arithmetic|sqrt,True
sqrt_mod_p,number_theory,integer,integer,3,number_theory|quadratic_residues,True
square,other,number,number,1,arithmetic|basic,False
square_free_divisors,number_theory,integer,integer,3,number_theory|divisors|squarefree,False
square_sum_simplify,algebra,integer,integer,2,algebra|expansion|squares,False
squeeze_theorem,other,integer,integer,4,inequalities|bounds|sequences|limits,False
stewart_cevian_length,geometry,none,symbolic_expression,3,geometry|triangle|stewart|cevian,False
stewart_theorem,geometry,triangle,geometric_value,3,geometry|triangle|stewart|cevian,False
stirling,combinatorics,none,integer,5,combinatorics|stirling|partitions|deep_insight,False
stirling_first,combinatorics,integer,count,3,combinatorics|stirling|counting,False
stirling_second,combinatorics,integer,count,3,combinatorics|stirling|counting,False
stirling_second_inverse_n,combinatorics,count,integer,4,combinatorics|stirling|inverse,False
subfactorial,combinatorics,integer,count,2,combinatorics|subfactorial|counting,False
subfield_degree_from_subgroup_index,geometry,none,integer,5,algebraic_geometry|galois_theory|field_theory,False
subharmonic_spherical_average_limit,analysis,number,number,4,functional_analysis|subharmonic|potential_theory,False
substitute,algebra,any,any,2,operational|algebra|sympy,False
substitute_asymptotics,analysis,number,number,2,analysis|asymptotics|substitution,False
substitution,algebra,integer,integer,3,algebra|substitution|evaluation,False
substitution_transform,algebra,expression,expression,4,algebra|transformation|symbolic|calculus,False
subtract,other,none,number,1,arithmetic|basic,False
subtract_one,other,integer,integer,1,arithmetic|basic,True
sum,other,list,integer,1,arithmetic|basic,False
sum_min_areas,combinatorics,integer,integer,4,combinatorics|rectangle|optimization,False
sum_min_areas_rectangles,geometry,integer,integer,4,combinatorics|geometry|optimization|rectangles,False
sum_numerator_denominator,other,none,integer,1,arithmetic|fractions|basic,False
sum_of_angles,geometry,integer,integer,2,geometry|angles,False
sum_of_cubes_ap_expansion,algebra,none,integer,4,sequences|arithmetic_progression|algebra|cubes,False
sum_of_digits,number_theory,integer,integer,1,number_theory|digits,True
sum_of_divisors,number_theory,integer,integer,2,number_theory|divisors,True
sum_of_squares_count,number_theory,integer,integer,2,number_theory|sums_of_squares,True
sum_range,algebra,integer,integer,1,algebra|series|arithmetic|sum,False
summation,algebra,integer,integer,3,algebra|series,False
summation_manipulation,algebra,integer,integer,4,algebra|summation|manipulation,False
summation_of_lengths,algebra,integer,integer,3,algebra|sequences,False
supremum_limit,analysis,list,number,2,analysis|limits|supremum,False
supremum_norm_bound,analysis,list,number,2,analysis|norms|supremum|bounds,False
supremum_of_ball_integrals,analysis,list,number,3,analysis|integrals|supremum,False
surface_area_calculation,geometry,integer,integer,3,geometry|3d|surface_area,False
symmetry_rotation,geometry,integer,integer,3,geometry|symmetry|rotation|polygon,False
tail_sum_bound,analysis,none,number,2,functional_analysis|series|bounds,False
tangent_addition,geometry,integer,integer,4,geometry|trigonometry|angles,False
tangent_circle_properties,geometry,integer,integer,3,geometry|circle,False
tangent_length_concentric_circles,geometry,geometric,geometric_value,2,geometry|circle|tangent|concentric,True
telescoping,algebra,sequence,integer,3,algebra|series|telescoping,False
test_constant_polynomial,algebra,list,boolean,1,algebra|polynomials,False
test_feasibility_k,analysis,none,boolean,2,analysis|feasibility|optimization,False
tetrahedron_volume,geometry,tetrahedron,geometric_value,4,geometry|3d|volume|tetrahedron,False
tiling_theory,geometry,integer,integer,4,geometry|tiling|combinatorics,False
top_cohomology_noncompact_manifold,analysis,boolean,integer,5,functional_analysis|topology|cohomology,False
topological_complexity_graph,algebra,integer,integer,4,topology|graph_theory|farber_theorem|algebraic_topology,False
totient,number_theory,integer,integer,2,number_theory|totient,True
totient_inverse,number_theory,integer,integer,3,number_theory|totient|inverse,False
transform_expression,algebra,any,any,2,operational|algebra|sympy,False
translate_to_coordinates,other,any,dict,3,operational|mapping|transformation,False
trapezoid_area,geometry,geometric,geometric_value,1,geometry|trapezoid|area,True
trapezoid_height,geometry,geometric,geometric_value,2,geometry|trapezoid|height,True
trapezoid_midline,geometry,geometric,geometric_value,1,geometry|trapezoid|midline,False
triangle_area,geometry,none,number,2,geometry|triangle|area,False
triangle_area_heron,geometry,none,number,2,geometry|triangle|area,False
triangle_centroid,geometry,none,point,1,geometry|triangle|centroids,False
triangle_inequality,geometry,none,boolean,1,geometry|triangle|inequalities,False
triangle_place_coordinates,geometry,triangle,geometric,2,geometry|triangle|coordinates|placement,False
triangle_similarity,geometry,integer,integer,3,geometry|triangle|similarity,False
triangle_vertex_coordinates,geometry,geometric,integer,1,geometry|triangle|coordinates,False
triangle_vertices_placement,geometry,geometric,geometric_value,2,geometry|triangle|vertices|area,False
triangles_shared_angle,geometry,integer,integer,4,geometry|triangle|area|ratio,False
triangular_number,number_theory,integer,integer,1,sequences|number_theory,False
triangular_numbers,number_theory,integer,integer,1,sequences|number_theory,False
tribonacci,other,integer,integer,2,sequences|tribonacci,False
trig_identities_synthetic,geometry,integer,integer,4,geometry|trigonometry,False
trigonometric_zero_set_cos,analysis,integer,integer,2,measure_theory|trigonometry|analysis,False
trigonometric_zero_set_sin,analysis,integer,integer,2,measure_theory|trigonometry|analysis,False
trisection_point,geometry,geometric,numeric,1,geometry|segment|trisection,False
turan_bound,combinatorics,integer,integer,3,combinatorics|graph_theory|extremal|turan,False
unfolding_nets_pathfinding,geometry,integer,integer,4,geometry|3d|pathfinding|unfolding,False
validate_triple_condition,algebra,none,boolean,2,verification|algebra,False
vector_bc,geometry,geometric,geometric_value,1,geometry|vector|magnitude,False
vector_dot_product,geometry,geometric,integer,1,geometry|vector|dot_product,False
vector_dot_product_from_diagonals,algebra,matrix,integer,2,algebra|matrix|dot_product,False
vector_ob,geometry,geometric,geometric_value,1,geometry|vector|magnitude,False
verify,other,any,dict,2,operational|verification|validation,False
verify_base_case,other,any,dict,2,operational|verification|validation,False
verify_constraint,other,any,dict,2,operational|verification|validation,False
verify_equation,other,none,boolean,2,verification|constraints|inequalities,False
vieta,algebra,none,answer,4,algebra|DEEP_INSIGHT|vieta|polynomials,False
vieta_inverse_coeffs,algebra,integer,polynomial,3,algebra|vieta|roots|polynomials,True
vieta_product,algebra,integer,integer,2,algebra|vieta|roots|polynomials,False
vieta_sum,algebra,polynomial,integer,2,algebra|vieta|roots|polynomials,False
volume_ball,geometry,integer,float,3,geometry|volume|ball|sphere|multidimensional,False
volume_calculation,geometry,geometric_value,geometric_value,3,geometry|3d|volume|shape,False
volume_from_bounds,geometry,integer,geometric_value,2,geometry|volume|3d|bounds,False
volume_rectangular_prism,geometry,none,number,1,geometry|volume,False
weak_star_null_convergence,analysis,list,number,3,analysis|functional_analysis|weak_convergence,False
wilson,number_theory,none,integer,4,number_theory|wilson|factorial|deep_insight,False
wilson_theorem_mod,number_theory,integer,integer,2,number_theory|factorial|modular,False
zsigmondy,number_theory,integer,integer,4,number_theory|zsigmondy,True
